Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
project-1-team-8,com.sismics.reader.ui.form.validator,Length,3,0,3,3,37,4,0,1,0.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/ui/form/validator/Length.java,7
project-1-team-8,com.sismics.reader.ui.form.validator,Alphanumeric,1,0,2,2,13,2,0,1,1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/ui/form/validator/Alphanumeric.java,9
project-1-team-8,com.sismics.reader.ui.form.validator,Email,1,0,2,2,16,2,0,1,1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/ui/form/validator/Email.java,9
project-1-team-8,com.sismics.reader.activity,MainActivity,11,0,29,20,0,67,0,0,0.2413793103448276,0,12,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/MainActivity.java,45
project-1-team-8,com.sismics.reader.activity,LicenseActivity,1,0,2,1,25,3,0,0,1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/LicenseActivity.java,12
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,1,0,19,16,170,40,0,0,0.2631578947368421,0,3,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/CategoriesActivity.java,29
project-1-team-8,com.sismics.reader.activity,SettingsActivity,0,0,2,1,20,3,0,0,-1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/SettingsActivity.java,9
project-1-team-8,com.sismics.reader.activity,ArticleActivity,11,0,25,21,0,59,0,0,0.44,0,7,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/ArticleActivity.java,39
project-1-team-8,com.sismics.reader.activity,LoginActivity,2,0,10,9,119,18,0,0,0.4,0,5,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/activity/LoginActivity.java,28
project-1-team-8,com.sismics.reader.model.application,ApplicationContext,2,0,8,7,71,13,0,0,0.5,3,3,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/model/application/ApplicationContext.java,13
project-1-team-8,com.sismics.reader.resource,StarredResource,0,0,3,3,46,4,0,1,-1.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/StarredResource.java,10
project-1-team-8,com.sismics.reader.resource,SubscriptionResource,0,0,5,5,70,6,0,1,-1.0,4,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/SubscriptionResource.java,9
project-1-team-8,com.sismics.reader.resource,BaseResource,4,0,2,0,87,5,5,0,1.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/BaseResource.java,29
project-1-team-8,com.sismics.reader.resource,BaseResource.MySSLSocketFactory,1,0,0,0,27,0,0,0,-1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/BaseResource.java,86
project-1-team-8,com.sismics.reader.resource,ArticleResource,0,0,3,3,41,3,0,1,-1.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/ArticleResource.java,11
project-1-team-8,com.sismics.reader.resource,CategoryResource,0,0,5,5,64,7,0,1,-1.0,1,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/CategoryResource.java,8
