Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
project-1-team-8,com.sismics.reader,MainApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader,BaseTransactionalTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader,Standalone,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.util,PreferenceUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PREF_CACHED_USER_INFO_JSON; PREF_CACHED_SUBSCRIPTION_JSON; PREF_SERVER_URL; PREF_SUBSCRIPTION_UNREAD; PREF_ARTICLES_FETCHED; PREF_DEFAULT_SUBSCRIPTION; PREF_FONT_SIZE
project-1-team-8,com.sismics.reader.core.model.jpa,Feed,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
project-1-team-8,com.sismics.reader.core.model.jpa,User,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
project-1-team-8,com.sismics.reader.core.model.jpa,RoleBaseFunction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.model.jpa,Article,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
project-1-team-8,com.sismics.reader.core.model.jpa,Role,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.model.jpa,BaseFunction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.model.context,AppContext,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FeedService; AppContext; IndexingService; ArticleDao; LuceneUtil
project-1-team-8,com.sismics.reader.core.service,IndexingService,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FeedService; AppContext; IndexingService; ArticleDao; LuceneUtil
project-1-team-8,com.sismics.reader.core.service,FeedService,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 32 methods
project-1-team-8,com.sismics.reader.core.listener.async,ArticleDeletedAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.async,ArticleUpdatedAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.async,RebuildIndexAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.async,ArticleCreatedAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.async,FaviconUpdateRequestedAsyncListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.listener.sync,DeadEventListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.constant,ConfigType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.core.constant,Constants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FeedService; AppContext; IndexingService; ArticleDao; LuceneUtil
project-1-team-8,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_MAX_TOKEN_LENGTH; maxTokenLength; STOP_WORDS_SET
project-1-team-8,com.sismics.reader.core.dao.file.opml,OpmlReader.Element,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.core.dao.file.opml,OpmlReader.Element,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.file.rss,AtomLink,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,Feature Envy,The tool detected a instance of this smell because handleEnclosure is more interested in members of the type: Article
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; DF_RSS; DF_ATOM; DF_DC; content; feed; article; articleList; atomLinkList; atomArticleLinkList; fatalErrorCount; URI_XML; URI_ATOM; URI_RDF; URI_SLASH; URI_DC; URI_CONTENT; URI_THREAD; FATAL_ERROR_MAX; currentElement; elementStack; feedType; elementHandlers; endElementHandlers; lastElementUri
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 43 methods
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader.FeedType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader.FeedType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader.Element,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader.Element,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
project-1-team-8,com.sismics.reader.core.dao.file.html,FaviconDownloader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; FAVICON_MIME_TYPE_MAP
project-1-team-8,com.sismics.reader.core.dao.jpa,JobDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,JobEventDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,ArticleDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,UserDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,UserArticleDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,FeedDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa,FeedSubscriptionDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseDao
project-1-team-8,com.sismics.reader.core.dao.jpa.dto,UserArticleDto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
project-1-team-8,com.sismics.reader.core.dao.jpa.dto,ArticleDto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
project-1-team-8,com.sismics.reader.core.dao.jpa.dto,FeedSubscriptionDto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
project-1-team-8,com.sismics.reader.core.dao.jpa.criteria,UserCriteria,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.core.dao.jpa.criteria,UserArticleCriteria,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,UserMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,UserArticleMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,FeedSubscriptionMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,JobMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,ArticleMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,JobEventMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,FeedMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.util,UserUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.core.util,LuceneUtil,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FeedService; AppContext; IndexingService; ArticleDao; LuceneUtil
project-1-team-8,com.sismics.reader.core.util,LuceneUtil.LuceneRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util,HttpUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util,MessageUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util,EnvironmentUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.adblock,Subscription,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: title; specialization; url; homepage; prefixes; author
project-1-team-8,com.sismics.util.adblock,Subscription,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: title; specialization; url; homepage; prefixes; author
project-1-team-8,com.sismics.util.adblock,Helper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.adblock,SubscriptionParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.mime,MimeType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: IMAGE_X_ICON; IMAGE_PNG; IMAGE_JPEG; IMAGE_GIF; APPLICATION_ZIP
project-1-team-8,com.sismics.util.mime,MimeType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IMAGE_X_ICON; IMAGE_PNG; IMAGE_JPEG; IMAGE_GIF; APPLICATION_ZIP
project-1-team-8,com.sismics.util.mime,MimeType,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: IMAGE_X_ICON; IMAGE_PNG; IMAGE_JPEG; IMAGE_GIF; APPLICATION_ZIP
project-1-team-8,com.sismics.util.jpa,DbOpenHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.jpa,ManagedProviderConnectionHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.jpa,SessionUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.jpa.filter,FilterColumn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.cert,TrustAllManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.util.context,ThreadLocalContext,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: threadLocalContext; entityManager
project-1-team-8,com.sismics.reader.agent.ui,StatusPanel,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ReaderAgent; TrayController; AgentFrame; StatusPanel; SettingPanel; ReaderDeployer
project-1-team-8,com.sismics.reader.agent.model,Setting,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: READER_AGENT_PROPERTIES_FILE; DEFAULT_HOST; DEFAULT_PORT; DEFAULT_CONTEXT_PATH; DEFAULT_AUTO_START; DEFAULT_SECURE; host; port; contextPath; readerHome; autoStart; secure; keyStorePath; keyStorePassword; keyManagerPassword
project-1-team-8,com.sismics.reader.agent.model,Setting,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
project-1-team-8,com.sismics.reader.agent,ReaderAgent,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ReaderAgent; TrayController; AgentFrame; StatusPanel; SettingPanel; ReaderDeployer
project-1-team-8,com.sismics.reader.agent.deployer,DeploymentStatus.ServerState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.agent.deployer,DeploymentStatus.ServerState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.agent.deployer,ReaderDeployer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ReaderAgent; TrayController; AgentFrame; StatusPanel; SettingPanel; ReaderDeployer
project-1-team-8,com.sismics.reader.rest.resource,StarredResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,StarredResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,LocaleResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,LocaleResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,SearchResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,SearchResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
