Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getEnclosureUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getEnclosureType; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate; com.sismics.reader.core.model.jpa.Article.getEnclosureLength
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
