Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.dao.jpa,CategoryDao,Law of Demeter violation,The tool detected the smell in this method (getCategory) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.dao.jpa,CategoryDao,Law of Demeter violation,The tool detected the smell in this method (getCategoryCount) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.dao.jpa,CategoryDao,Law of Demeter violation,The tool detected the smell in this method (findAllCategory) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.dao.jpa,CategoryDao,Law of Demeter violation,The tool detected the smell in this method (findSubCategory) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.dao.jpa,TestJpa,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.model.jpa.User; com.sismics.reader.core.dao.jpa.UserDao
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,UserMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.UserDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,UserArticleMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.UserArticleDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,FeedSubscriptionMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.FeedSubscriptionDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,JobMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.JobDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,ArticleMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.ArticleDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,JobEventMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.JobEventDto
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,FeedMapper,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.dto.FeedDto
project-1-team-8,com.sismics.reader.core.util,TransactionUtil,Law of Demeter violation,The tool detected the smell in this method (handle) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util,TransactionUtil,Law of Demeter violation,The tool detected the smell in this method (commit) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util,ConfigUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.ConfigDao
project-1-team-8,com.sismics.reader.core.util,EntityManagerUtil,Law of Demeter violation,The tool detected the smell in this method (flush) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util,LuceneUtil,Law of Demeter violation,The tool detected the smell in this method (handle) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getIndexingService; com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.service.IndexingService.getDirectory
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (executeQuery) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (getQueryString) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.jpa.filter.FilterCriteria.getFilterColumnList; com.sismics.util.jpa.QueryParam.getFilterCriteria
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (getQueryString) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.jpa.filter.FilterCriteria.getFilterColumnList; com.sismics.util.jpa.QueryParam.getFilterCriteria
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (executeCountQuery) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (executeResultQuery) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.context.ThreadLocalContext.get; com.sismics.util.context.ThreadLocalContext.getEntityManager
project-1-team-8,com.sismics.reader.core.util.jpa,PaginatedLists,Law of Demeter violation,The tool detected the smell in this method (mapFilterColumn) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.util.jpa.filter.FilterCriteria.getFilterColumnList; com.sismics.util.jpa.QueryParam.getFilterCriteria
project-1-team-8,com.sismics.util,AdblockUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.util.adblock.JSEngine
project-1-team-8,com.sismics.util,LocaleUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.LocaleDao
project-1-team-8,com.sismics.util,TestArticleSanitizer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.file.rss.RssReader; com.sismics.reader.core.util.sanitizer.ArticleSanitizer
project-1-team-8,com.sismics.util,TestAdblockUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.util.AdblockUtil
project-1-team-8,com.sismics.util.log4j,MemoryAppender,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.util.log4j.LogEntry
project-1-team-8,com.sismics.util.jpa,EMF,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.util.jpa.DbOpenHelper
project-1-team-8,com.sismics.reader.rest.resource,StarredResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao
project-1-team-8,com.sismics.reader.rest.resource,StarredResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setStarred; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setVisible
project-1-team-8,com.sismics.reader.rest.resource,StarredResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserArticleId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,LocaleResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.LocaleDao
project-1-team-8,com.sismics.reader.rest.resource,SearchResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getIndexingService; com.sismics.reader.core.model.context.AppContext.getInstance
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.UserDao; com.sismics.reader.core.event.SubscriptionImportedEvent; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria; com.sismics.reader.core.model.jpa.FeedSubscription; com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.dao.jpa.CategoryDao; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao; com.sismics.reader.core.dao.jpa.FeedSynchronizationDao
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (list) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUnread; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUnread; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setVisible
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserArticleId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (getSynchronization) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedUrl
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getFeedService
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedUrl
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (read) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setFeedSubscriptionId
project-1-team-8,com.sismics.reader.rest.resource,SubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (importFile) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getImportEventBus
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUnread; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setVisible
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserArticleId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Law of Demeter violation,The tool detected the smell in this method (read) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed
project-1-team-8,com.sismics.reader.rest.resource,JobResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.JobDao
project-1-team-8,com.sismics.reader.rest.resource,ThemeResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.rest.dao.ThemeDao
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.dao.jpa.dto.ArticleDto; com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Law of Demeter violation,The tool detected the smell in this method (read) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Law of Demeter violation,The tool detected the smell in this method (readMultiple) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Law of Demeter violation,The tool detected the smell in this method (unread) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Law of Demeter violation,The tool detected the smell in this method (unreadMultiple) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,AppResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.util.log4j.LogCriteria
project-1-team-8,com.sismics.reader.rest.resource,AppResource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
project-1-team-8,com.sismics.reader.rest.resource,AppResource,Law of Demeter violation,The tool detected the smell in this method (batchReindex) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.service.IndexingService.rebuildIndex; com.sismics.reader.core.model.context.AppContext.getIndexingService; com.sismics.reader.core.model.context.AppContext.getInstance
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.model.jpa.Category; com.sismics.reader.core.dao.jpa.CategoryDao; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUnread; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setVisible
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserArticleId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Law of Demeter violation,The tool detected the smell in this method (read) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setCategoryId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Law of Demeter violation,The tool detected the smell in this method (read) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria.setCategoryId
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.event.PasswordChangedEvent; com.sismics.reader.core.dao.jpa.criteria.JobEventCriteria; com.sismics.reader.core.model.jpa.Category; com.sismics.reader.core.dao.jpa.criteria.JobCriteria; com.sismics.reader.core.dao.jpa.RoleBaseFunctionDao; com.sismics.reader.core.model.jpa.User; com.sismics.reader.core.dao.jpa.UserDao; com.sismics.reader.core.event.UserCreatedEvent; com.sismics.reader.core.dao.jpa.CategoryDao; com.sismics.reader.core.model.jpa.AuthenticationToken; com.sismics.reader.core.dao.jpa.AuthenticationTokenDao
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Law of Demeter violation,The tool detected the smell in this method (register) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getMailEventBus
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Law of Demeter violation,The tool detected the smell in this method (update) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getMailEventBus
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Law of Demeter violation,The tool detected the smell in this method (update) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getMailEventBus
project-1-team-8,com.sismics.reader.rest.util,ValidationUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.rest.dao.ThemeDao; com.sismics.reader.core.dao.jpa.LocaleDao
project-1-team-8,com.sismics.reader.rest,TestSubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (testSubscriptionImportOpml) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.waitForAsync
project-1-team-8,com.sismics.reader.rest,TestSubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (testSubscriptionImportOpml) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.waitForAsync
project-1-team-8,com.sismics.reader.rest,TestSubscriptionResource,Law of Demeter violation,The tool detected the smell in this method (testSubscriptionImportTakeout) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.waitForAsync
project-1-team-8,com.sismics.reader.rest,BaseJerseyTest,Law of Demeter violation,The tool detected the smell in this method (synchronizeAllFeed) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getFeedService
project-1-team-8,com.sismics.util.filter,TokenBasedSecurityFilter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.AuthenticationTokenDao
project-1-team-8,com.sismics.util.filter,SecurityFilter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.security.UserPrincipal; com.sismics.reader.core.dao.jpa.RoleBaseFunctionDao; com.sismics.security.AnonymousPrincipal
