Project Name,Package Name,Type Name,Method Name,Code Smell
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onScroll,Magic Number
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onArticlesDrawerOpened,Magic Number
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onOptionsItemSelected,Missing default
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement
project-1-team-8,com.sismics.reader.activity,LoginActivity,onClick,Long Statement
project-1-team-8,com.sismics.reader.activity,LoginActivity,onClick,Long Statement
project-1-team-8,com.sismics.reader.activity,LoginActivity,tryConnect,Long Statement
project-1-team-8,com.sismics.reader.resource,SubscriptionResource,feed,Long Parameter List
project-1-team-8,com.sismics.reader.resource,BaseResource,init,Long Statement
project-1-team-8,com.sismics.reader.resource,CategoryResource,update,Long Parameter List
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,onCreateDialog,Long Statement
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,show,Long Statement
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,onClick,Long Statement
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onCreate,Long Statement
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onCreate,Long Statement
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onPreferenceClick,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticlesDefaultFragment,onSubscriptionError,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onError,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Complex Method
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Long Method
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Long Parameter List
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Missing default
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onScroll,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActionItemClicked,Complex Method
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActionItemClicked,Missing default
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActivityResult,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Complex Conditional
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
